CommitID,Payment,Ordering,Webhooks,Basket,Identity,Catalog,Marketing,
04b35492,N,Y,N,Y,N,Y,N,
8c2af8c0,N,Y,N,N,N,N,N,
889d3c86,N,Y,N,N,N,N,N,
4790981e,N,Y,N,Y,N,Y,N,
c211f968,N,Y,N,Y,N,Y,N,
9e755046,N,Y,N,Y,Y,Y,N,
ec07a687,N,Y,N,Y,Y,Y,N,
85b61a2b,N,Y,N,Y,Y,N,N,
b13fce70,N,Y,N,Y,Y,N,N,
c1320f44,N,Y,N,Y,N,Y,N,
b2d28218,N,Y,N,Y,N,Y,N,
c5778a04,N,Y,N,Y,Y,Y,N,
e4f5b501,N,Y,N,Y,Y,Y,N,
45fff656,N,Y,N,N,N,Y,N,
689096f4,N,Y,N,N,N,Y,N,
6c9d2cdb,N,Y,N,Y,N,N,N,
d9d26beb,N,Y,N,Y,N,N,N,
0ee173cd,Y,Y,N,N,N,Y,N,
9b449461,Y,Y,N,N,N,Y,N,
f3b6444e,N,Y,N,Y,N,Y,N,
8b80eeae,N,Y,N,Y,N,Y,N,
b12e8e39,N,Y,N,N,N,N,N,
587de20d,N,Y,N,N,N,N,N,
afc247da,N,Y,N,Y,N,N,N,
b2b01bae,N,Y,N,Y,N,N,N,
f79806e8,N,Y,N,Y,N,N,N,
e104da9f,N,Y,N,Y,N,N,N,
e4c8462f,N,Y,N,N,N,N,N,
a4124d77,N,Y,N,N,N,N,N,
7fc63fe1,Y,Y,N,Y,Y,Y,N,
1c728535,Y,Y,N,Y,Y,Y,N,
21fe9b7b,N,Y,N,Y,N,N,N,
9e00dcee,N,Y,N,Y,N,N,N,
9a6ad2cc,N,Y,N,N,N,Y,N,
10e24272,N,Y,N,N,N,Y,N,
61cc09ed,N,Y,N,N,N,Y,N,
62969304,N,Y,N,N,N,Y,N,
95af2d9a,N,Y,N,N,Y,Y,N,
5d098b14,N,Y,N,N,Y,Y,N,
7fe643f0,N,Y,N,N,N,N,N,
39feb017,N,Y,N,N,N,N,N,
c5cca8f3,N,Y,N,Y,Y,Y,N,
8d09abbb,N,Y,N,Y,Y,Y,N,
04b5577e,N,Y,N,N,N,N,N,
f5ab8333,N,Y,N,N,N,N,N,
cde4c3a2,N,Y,N,N,N,N,N,
6f760577,N,Y,N,N,N,N,N,
d97ae6d6,N,Y,N,N,N,N,N,
e8133328,N,Y,N,N,N,N,N,
bfe86c1c,N,Y,N,Y,N,N,N,
f297f8b6,N,Y,N,Y,N,N,N,
79f8f1b9,N,Y,N,Y,N,Y,N,
a09d7fd3,N,Y,N,Y,N,Y,N,
4b1467a7,N,Y,N,N,N,N,N,
69d7399e,N,Y,N,N,N,N,N,
829f13af,N,Y,N,Y,Y,Y,N,
22cc8daa,N,Y,N,Y,Y,Y,N,
6f8cd174,N,Y,N,Y,N,Y,N,
aeddf51a,N,Y,N,Y,N,Y,N,
ed797080,N,Y,N,N,N,N,N,
ee787dca,N,Y,N,N,N,N,N,
995cc890,N,Y,N,N,N,N,N,
077868e5,N,Y,N,N,N,N,N,
8a19fad3,Y,Y,N,N,Y,N,N,
d2dc0351,Y,Y,N,N,Y,N,N,
44e39a68,N,Y,N,Y,N,Y,N,
09a53f01,N,Y,N,Y,N,Y,N,
4ef6b639,N,Y,N,Y,N,Y,N,
c3351330,N,Y,N,Y,N,Y,N,
3c909ff3,N,Y,N,N,N,Y,N,
202882aa,N,Y,N,Y,N,Y,N,
d9c004a9,N,Y,N,Y,N,N,N,
e08fe895,N,N,N,N,Y,Y,N,
cea96002,N,Y,N,Y,N,N,N,
3a7a14bd,N,Y,N,Y,N,Y,N,
0d78461a,N,Y,N,N,N,Y,N,
313976da,N,N,N,Y,Y,Y,N,
5b9b9239,N,Y,N,Y,Y,Y,N,
561ba3b1,N,Y,N,Y,N,Y,N,
de8aded2,N,Y,N,Y,N,N,N,
260df610,N,Y,N,N,N,N,N,
3ec61e0d,N,Y,N,Y,Y,Y,N,
c7e31741,N,Y,N,N,N,N,N,
5a374e97,N,N,N,Y,N,Y,N,
b9c1778d,N,Y,N,N,N,N,N,
c8df9a23,N,N,N,Y,N,Y,N,
8423c8bb,N,N,N,Y,N,Y,N,
e41ce96f,N,N,N,Y,N,N,N,
faf4ada8,N,N,N,N,N,Y,N,
c8f0776f,N,Y,N,N,N,N,N,
f6b23355,N,Y,N,N,N,N,N,
254d4795,N,N,N,Y,N,Y,N,
f502c238,N,N,N,N,N,Y,N,
172367d9,N,N,N,Y,N,Y,N,
4d1269b8,N,N,N,Y,N,Y,N,
5b38a49f,N,N,N,Y,N,Y,N,
3e795ac3,N,Y,N,Y,N,Y,N,
ee131982,N,Y,N,Y,N,Y,N,
9edf68ba,N,Y,N,Y,N,Y,N,
18a40204,N,N,N,N,N,Y,N,
c38e0782,N,Y,N,Y,Y,Y,N,
9e250007,N,Y,N,Y,Y,Y,N,
e7ec7260,N,Y,N,N,N,N,N,
f9b15481,N,Y,N,N,N,Y,N,
32bb724d,N,Y,N,Y,Y,Y,N,
faa24c75,N,Y,N,Y,Y,Y,N,
3df4f3a2,N,Y,N,Y,Y,Y,N,
67ab1159,N,Y,N,N,N,N,N,
e66b6a24,N,Y,N,N,Y,N,N,
bfe2139a,N,Y,N,N,N,N,N,
a1f4082e,N,N,N,Y,N,Y,N,
92daab8f,N,Y,N,Y,Y,Y,N,
79615664,N,Y,N,Y,Y,Y,N,
5b97c732,N,Y,N,Y,Y,Y,N,
bb5d4873,N,Y,N,Y,Y,Y,N,
9ccf7f11,N,Y,N,Y,Y,Y,N,
c7e362ac,N,Y,N,Y,Y,Y,N,
af14d373,N,Y,N,Y,Y,Y,N,
8325ddbd,N,Y,N,N,N,N,N,
d07b9846,N,N,N,Y,Y,Y,N,
0a18af14,N,Y,N,N,N,Y,N,
963de048,N,Y,N,Y,N,N,N,
8c6ee100,N,N,N,Y,Y,Y,N,
c29b783d,N,N,N,N,Y,N,N,
fa6a273a,N,Y,N,N,N,N,N,
9d2d152c,N,Y,N,N,N,N,N,
2babf6e4,N,Y,N,N,N,N,N,
3c277a49,N,Y,N,N,N,N,N,
ac146f44,N,Y,N,N,Y,N,N,
